id,idprovincia,zipcode,status
"127","2","El Cachon","11515",,"1"
"128","2","El Cachon de la Rubia","11517",,"1"
"129","2","El Cacique","10118",,"1"
"130","2","El Cafe","11115",,"1"
"131","2","El Caliche","10501",,"1"
"132","2","El Caliche","10901",,"1"
"133","2","El Catorce","10804",,"1"
"134","2","El 14","10804",,"1"
"135","2","El Chucho","10803",,"1"
"136","2","El Condado","10607",,"1"
"137","2","El Eden","11207",,"1"
"138","2","El Embajador","10110",,"1"
"139","2","El Ensanchito","10411",,"1"
"140","2","El Fundo","11204",,"1"
"141","2","El Majagual","11401",,"1"
"142","2","El Mamey","11201",,"1"
"143","2","El Manguito","10108",,"1"
"144","2","El Millon","10149",,"1"
"145","2","El Milloncito","11402",,"1"
"146","2","El Palmar","10904",,"1"
"147","2","El Pedregal","11107",,"1"
"148","2","El Pino","10508",,"1"
"149","2","El Portal","10115",,"1"
"150","2","El Rosal","11506",,"1"
"151","2","El Tamarindo","11809",,"1"
"152","2","El Tamarindo","10801",,"1"
"153","2","El Torito","11205",,"1"
"154","2","El Vergel","10107",,"1"
"155","2","Encarnacion","10135",,"1"
"156","2","Engombe","10904",,"1"
"157","2","Enriquillo","11405",,"1"
"158","2","Ens. Alma Rosa","11504",,"1"
"159","2","Ens. Alma Rosa","11503",,"1"
"160","2","Ens. Ivan Guzman Klan","10904",,"1"
"161","2","Ens. Kennedy","10513",,"1"
"162","2","Ens. La Fe","10514",,"1"
"163","2","Ens. Paraiso","11005",,"1"
"164","2","Ens. Altagracia","11114",,"1"
"165","2","Ens. Cristal","11404",,"1"
"166","2","Ens. Espaillat","10402",,"1"
"167","2","Ensanche Independencia","10206",,"1"
"168","2","Ens. La Paz","10117",,"1"
"169","2","Ens. Lugo","10209",,"1"
"170","2","Ens. Luperon","10401",,"1"
"171","2","Ens. Luperon","10406",,"1"
"172","2","Ens. Ozama","11501",,"1"
"173","2","Ens. Paraiso","11202",,"1"
"174","2","Ens. Quisqueya","10145",,"1"
"175","2","Ens. Quisqueya","10146",,"1"
"176","2","Esperilla","10107",,"1"
"177","2","Esperilla","10108",,"1"
"178","2","Estela Marina","10143",,"1"
"179","2","Eugenio M. de Hostos","11802",,"1"
"180","2","Evaristo Morales","10147",,"1"
"181","2","Faro A Colon","11604",,"1"
"182","2","Felicidad","11902",,"1"
"183","2","Francisco Del","11904",,"1"
"184","2","Franconia","11508",,"1"
"185","2","Fundacion","10505",,"1"
"186","2","Gacela","11102",,"1"
"187","2","Galaxia","11004",,"1"
"188","2","Gazcue","10205",,"1"
"189","2","Gazcue","10205",,"1"
"190","2","Guachupita","10302",,"1"
"191","2","Gualey","10403",,"1"
"192","2","Guaricanos","11301",,"1"
"193","2","Hainamosa","11807",,"1"
"194","2","Hamarap","11509",,"1"
"195","2","Haras Nacionales","11201",,"1"
"196","2","Hato Nuevo","10902",,"1"
"197","2","Herrera","11005",,"1"
"198","2","Honduras","10117",,"1"
"199","2","Invi","10801",,"1"
"200","2","Invi Cea","11807",,"1"
"201","2","Invimosa","11807",,"1"
"202","2","Invivienda","11802",,"1"
"203","2","Isabel","11509",,"1"
"204","2","Isabel Villas","10504",,"1"
"205","2","Invfapol","11801",,"1"
"206","2","Ivette","11506",,"1"
"207","2","Jacagua","11302",,"1"
"208","2","Jardines de Alma Rosa","11503",,"1"
"209","2","Jardines de Genovena","11201",,"1"
"210","2","Jardines Del Sur","11105",,"1"
"211","2","Juan Pablo Duarte","11003",,"1"
"212","2","Julieta Morales","10130",,"1"
"213","2","Katanga","11903",,"1"
"214","2","Km. 7","11105",,"1"
"215","2","Km. 8","11103",,"1"
"216","2","La Agustina","10516",,"1"
"217","2","La Agustinita","10509",,"1"
"218","2","La Aldaba","10508",,"1"
"219","2","La Antena","11207",,"1"
"220","2","La Barquita","11404",,"1"
"221","2","La Caridad","10410",,"1"
"222","2","La Ceiba","10607",,"1"
"223","2","La Cementera","10516",,"1"
"224","2","La Cienaga","10303",,"1"
"225","2","La Cienaga","10804",,"1"
"226","2","La Compuerta","10802",,"1"
"227","2","La Concordia","10804",,"1"
"228","2","La Cuarenta","10502",,"1"
"229","2","La Esperanza","10604",,"1"
"230","2","La Esperanza","11508",,"1"
"231","2","La Fe","10511",,"1"
"232","2","La Fe","10512",,"1"
"233","2","La Francia","11602",,"1"
"234","2","La Fuente","10302",,"1"
"235","2","La Isabela","10503",,"1"
"236","2","La Isabela","10701",,"1"
"237","2","La Javilla","11207",,"1"
"238","2","La Julia","11207",,"1"
"239","2","La Meseta","10505",,"1"
"240","2","La Milagrosa","11901",,"1"
"241","2","La Mina","11402",,"1"
"242","2","La Piita","10802",,"1"
"243","2","La Placeta","11117",,"1"
"244","2","La Primavera","10207",,"1"
"245","2","La Puya","10507",,"1"
"246","2","La Redencion","10701",,"1"
"247","2","La Rosa","11004",,"1"
"248","2","La Venta","10902",,"1"
"249","2","La Yuca","10120",,"1"
"250","2","La Yuca","10120",,"1"
"251","2","La Zurza","10408",,"1"
"252","2","Lanina Gautier","10516",,"1"
"253","2","Las Acacias","11104",,"1"
"254","2","Las Americas","11606",,"1"
"255","2","Las Caobas","10905",,"1"
"256","2","Las Capbotas","10905",,"1"
"257","2","Las Colinas","10608",,"1"
"258","2","Las Crorias","10805",,"1"
"259","2","Las Enfermeras","11906",,"1"
"260","2","Las Flores","10502",,"1"
"261","2","Las Frutas","11904",,"1"
"262","2","Las Palmas","11003",,"1"
"263","2","Las Palmas","11511",,"1"
"264","2","Las Palmeras","11302",,"1"
"265","2","Las Villas","10603",,"1"
"266","2","Lebron","10801",,"1"
"267","2","Libertad","11403",,"1"
"268","2","Lomas de Arroyo Hondo","10507",,"1"
"269","2","Lope de Vega","10125",,"1"
"270","2","Los 3 Brazos","11905",,"1"
"271","2","Los Alcarrizos","10801",,"1"
